observation_id,source_module,source_record_id,observation_scope,canonical_case_or_event_id,event_or_case_name,date_start,date_end,stage_order,actor_or_entity_id,actor_or_entity_name,entity_kind,role,action_family,action_family_zh,action_scope,action_detail,venue_id,venue_label,venue_group,venue_group_zh,place,target_type,target_id_or_name,repertoire_unit_id,counting_unit_rule,evidence_level,source_refs,review_status,review_layer,new_fact_status,sequence_limit,interpretation_limit,derivation_or_formal_inclusion_status
HET_AEV0001,AEV_HR015,AEV0001,actor_event_role,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,,,A003,ジュゴンネットワーク沖縄,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,domestic_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_E0276D4F6C,unique canonical_case_or_event_id x action_family x venue_group,E3,S003,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0002,AEV_HR015,AEV0002,actor_event_role,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,,,A005,WWFジャパン,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,domestic_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_E0276D4F6C,unique canonical_case_or_event_id x action_family x venue_group,E4,S003,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0003,AEV_HR015,AEV0003,actor_event_role,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,,,A006,グリーンピース・ジャパン,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,domestic_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_E0276D4F6C,unique canonical_case_or_event_id x action_family x venue_group,E4,S003,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0004,AEV_HR015,AEV0004,actor_event_role,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,,,A061,日本野鳥の会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,domestic_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_E0276D4F6C,unique canonical_case_or_event_id x action_family x venue_group,E4,S003,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0005,AEV_HR015,AEV0005,actor_event_role,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,,,A062,日本湿地ネットワーク（JAWAN）,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,domestic_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_E0276D4F6C,unique canonical_case_or_event_id x action_family x venue_group,E4,S003,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0006,AEV_HR015,AEV0006,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A004,日本自然保護協会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0007,AEV_HR015,AEV0007,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A021,国際環境NGO FoE Japan,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0008,AEV_HR015,AEV0008,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A022,NPO法人 ラムサール・ネットワーク日本,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0009,AEV_HR015,AEV0009,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A023,美ら海にもやんばるにも基地はいらない市民の会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0010,AEV_HR015,AEV0010,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A024,辺野古リレー,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
