role_id,case_id,actor_id,provisional_entity_id,entity_kind,actor_name,role,role_family,side,target_or_recipient,role_evidence_summary,source_refs,evidence_level,review_status,human_decision,human_reviewer,review_date,interpretation_limit
R8R001,R8C01,A045,,registered_actor,Center for Biological Diversity,plaintiff,plaintiff,claimant,U.S. Department of Defense,Named organizational plaintiff/appellant in Ninth Circuit official opinions.,S128;S129,E4,human_checked,accept,user,2026-07-13,Party role is case-specific and does not by itself prove a stable alliance.
R8R002,R8C01,A086,,registered_actor,Turtle Island Restoration Network,plaintiff,plaintiff,claimant,U.S. Department of Defense,Named organizational plaintiff/appellant in Ninth Circuit official opinion.,S128,E4,human_checked,accept,user,2026-07-13,Party role is case-specific.
R8R003,R8C01,A020,,registered_actor,日本環境法律家連盟（JELF）,plaintiff,plaintiff,claimant,U.S. Department of Defense,Named organizational plaintiff/appellant; JELF is a plaintiff here rather than counsel.,S128;S062,E4,human_checked,accept,user,2026-07-13,"HR-014: A020 is a named plaintiff in this Dugong case, not counsel. This case-specific plaintiff role does not transfer to Awase or other litigation."
R8R004,R8C01,A076,,registered_actor,ジュゴン保護基金委員会（Save the Dugong Foundation）,plaintiff,plaintiff,claimant,U.S. Department of Defense,Named organizational plaintiff/appellant in the official appellate opinion and litigation material.,S128;S062,E4,human_checked,accept,user,2026-07-13,Distinct from A002 SDCC.
R8R005,R8C01,A009,,registered_actor,Earthjustice,counsel,counsel,claimant,U.S. Department of Defense,Earthjustice formal case page identifies the organization as counsel representing plaintiffs.,S062,E4,human_checked,accept,user,2026-07-13,HR-014: Earthjustice is counsel in this case and is not a named plaintiff.
R8R006,R8C01,A002,,registered_actor,ジュゴン保護キャンペーンセンター（SDCC）,non_party,non_party,support_context,U.S. Department of Defense,Not included in the official appellate opinion's list of organizational plaintiffs; retained as an advocacy actor outside the party list.,S128;S062,E4,human_checked,accept,user,2026-07-13,HR-014: A002 remains a non-party here. The negative role prevents a false plaintiff label and does not deny advocacy outside the case.
R8R007,R8C01,A019,,registered_actor,ヘリ基地反対協議会,non_party,non_party,support_context,U.S. Department of Defense,The organization is not listed as a plaintiff; an associated individual may have a personal party role but that cannot be transferred to the organization.,S093;S128,E3,human_checked,accept,user,2026-07-13,HR-014: A019 remains a non-party. An associated individual's personal role must not be transferred to the organization.
R8R008,R8C02,A004,,registered_actor,日本自然保護協会（NACSJ）,commenter,commenter,commenting_organization,Okinawa Defense Bureau; national and prefectural officials,NACSJ issued dated formal comments on the 2004 method statement and the 2013 corrected EIA citing coral-reef biodiversity dugong survey and prediction deficiencies.,S131;S132,E4,human_checked,accept,user,2026-07-13,Formal comments prove procedural use not acceptance by the proponent.
R8R009,R8C02,,P8E001,public_institution,Okinawa Defense Bureau,procedure_proponent,proponent,respondent_or_proponent,Public; Okinawa Prefecture,Official Defense Bureau site publishes the corrected EIA and related volumes under the national act and prefectural ordinance.,S130,E4,human_checked,accept,user,2026-07-13,Government proponent is a procedural node not a civic actor.
R8R010,R8C02,,P8E002,public_institution,Governor of Okinawa,comment_recipient_and_review_authority,institutional_recipient,institutional_recipient,Okinawa Defense Bureau,The formal NACSJ submission addressed the governor and the corrected EIA records the prefectural review context.,S130;S131,E4,human_checked,accept,user,2026-07-13,Receipt/review role is not evidence that the governor adopted the NGO's conclusions.
R8R011,R8C03,,P8E003,procedural_collective,Kadena-area resident plaintiffs,plaintiff,plaintiff,claimant,Government of Japan,Official court judgment describes residents/former residents and heirs as plaintiffs seeking injunction and damages.,S133,E4,human_checked,accept,user,2026-07-13,Individual plaintiffs are represented as a collective procedural role; no person registry is created.
