issue_id,issue_label,issue_group,definition,include_in_phase1,notes
I001,anti_base,base_politics,Opposition to U.S. base construction/relocation/burden,yes,Core issue.
I002,anti_military,security_politics,Opposition to JSDF deployment or missile/base militarization,yes,Important for Sakishima.
I003,Henoko,place_issue,Henoko/Oura Bay base construction and relocation conflict,yes,Core place-issue.
I004,dugong,environment,Protection of Okinawa dugong habitat and related legal/international advocacy,yes,Strong transnational chain.
I005,biodiversity,environment,Coral/marine ecosystem and biodiversity protection,yes,Use with environment.
I006,groundwater,life_safety,Groundwater/water-source concern around Miyako/Ishigaki deployment,yes,Key Sakishima frame.
I007,life_safety,life_safety,"Daily safety, evacuation, risk, noise, accident, targetization concerns",yes,Broader than environment.
I008,health_risk,life_safety,"Electromagnetic waves, ammunition, contamination or health-risk claims",yes,Use evidence cautiously.
I009,local_autonomy,governance,"Self-determination, local referendum, municipal autonomy, prefectural autonomy",yes,Core frame.
I010,referendum,governance,Prefectural or municipal referendum and signature campaigns,yes,Connects to prior election project.
I011,legal,legal_policy,"Litigation, plaintiffs, lawyers, environmental procedure, administrative law",yes,Sample not full legal database.
I012,international_advocacy,transnational,"UN, U.S. institutions, international NGOs, cross-border advocacy",yes,Core mechanism.
I013,public_diplomacy,external_network,"U.S. consulate, exchange, scholarship, youth leadership, alliance-related outreach",sample,New observation layer.
I014,military_family_service,base_community,Services and welfare for U.S. service members and families,sample,Do not code as movement stance.
I015,international_cooperation,external_network,JICA/MOFA/NGO cooperation and development education,sample,Institutional ecology layer.
I016,base_community_welfare,base_community,"Welfare, charity, donation and service networks around U.S. base communities",sample,"Service ecology, not movement stance."
I017,frontline_prevention,security_politics,Opposition to Okinawa/Ryukyu arc becoming a battlefield or frontline,yes,Recent anti-war/frontline frame.
I018,Taiwan_contingency,security_politics,Taiwan contingency and surrounding security environment as public issue,yes,Use neutral wording.
I019,peace,peace_human_rights,"Peace movement, anti-war and demilitarization framing",yes,Often bridges anti-base and civic networks.
I020,environment,environment,General environmental protection or pollution framing not limited to biodiversity,yes,Added through HR-010 batch 5; keep distinct from biodiversity and specific pollution media.
I021,noise,life_safety,Aircraft and base noise as daily-life harm and litigation subject,yes,Added through HR-010 batch 5 for Kadena/Futenma legal coordination.
I022,women,peace_human_rights,"Women's organizations, gendered civic participation, and women-focused advocacy",yes,Added through HR-010 batch 5; organization type alone does not imply political stance.
I023,human_rights,peace_human_rights,"Human-rights framing in civic, legal, peace, or international advocacy",yes,Added through HR-010 batch 5; code only when source-backed.
I024,solidarity,collective_action,Public solidarity or support action outside the Okinawa-local core,yes,Added through HR-010 batch 5; solidarity action is not a stable alliance.
I025,anti_war,peace_human_rights,"Opposition to war, military escalation, or the conversion of Okinawa into a battlefield",yes,Added through HR-011; distinct from a narrower anti-base or anti-deployment code.
I026,mobilization,collective_action,"Sustained public organizing, street action, or campaign mobilization",yes,Added through HR-011; mobilization does not itself establish stable alliance ties.
