audit_row_id,normalized_url,input_record_count,input_batches,proposal_refs,candidate_refs,original_urls,merge_disposition,cross_batch_duplicate,current_source_match,current_source_ids,current_archive_status,suggested_source_id_if_merged,suggested_id_status,snapshot_state,source_log_observed_count,provisional_merged_source_ids,provisional_archive_status,proposed_title,publisher_labels,input_source_types,suggested_source_type,source_type_status,publication_or_record_dates,suggested_year,date_status,locators,locator_status,support_scopes,input_evidence_levels,suggested_evidence_level,caveats,sensitive_boundary_tags,sensitive_boundary_status,relation_or_claim_approved,archive_eligibility,archive_access_risk,metadata_issue_codes,human_metadata_review_required,web_review_required,recommended_action
NW2FS001,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,1,NW2-B_R09,NW2-B_R09:R9EC_S001,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,unique_proposed_new,no,no,,not_applicable,S248,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S248,archived,平成26年版 選挙管理委員会年報,沖縄県選挙管理委員会,official_election_record,official_data,mechanical_vocabulary_normalization,2015-06,2015,complete_year_or_date,『沖縄県知事選挙の実績』第12回（告示2014-10-30、投票2014-11-16）,complete,2014 election-window date and official institutional context only,E4,E4,Does not support any civic-actor role or causal effect.,election_causality_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=17_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS002,https://www.ywca.or.jp/pdf/2014/0716.pdf,1,NW2-B_R09,NW2-B_R09:R9EC_S002,,https://www.ywca.or.jp/pdf/2014/0716.pdf,unique_proposed_new,no,no,,not_applicable,S249,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S249,archived,きちきちニュースレター Vol.6（島ぐるみ会議結成）,日本YWCA 基地チーム,organization_newsletter,organization_report,mechanical_vocabulary_normalization,2014-07,2014,complete_year_or_date,"p.1, lines describing 7/27 founding and explicitly stating the body was not directly election-purpose",complete,2014 Shimagurumi founding as issue-campaign window and non-endorsement boundary,E3,E3,Participant/advocacy publication; exact crosswalk to A059 requires human review.,election_causality_not_inferred;actor_crosswalk_requires_human_review,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=3_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS003,https://www.qab.co.jp/news/2014082157456.html,1,NW2-B_R09,NW2-B_R09:R9EC_S003,,https://www.qab.co.jp/news/2014082157456.html,unique_proposed_new,no,no,,not_applicable,S250,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S250,archived,翁長那覇市長に保革双方が出馬を要請,琉球朝日放送,local_broadcast_news,local_news,mechanical_vocabulary_normalization,2014-08-21,2014,complete_year_or_date,Names two women-led request groups and reports their candidate-entry requests,complete,2014 women-group request to Takeshi Onaga to stand,E3,E3,Does not provide the full member roster of either ad hoc request body.,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=8_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS004,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,1,NW2-B_R09,NW2-B_R09:R9EC_S004,,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,unique_proposed_new,no,no,,not_applicable,S251,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S251,archived,翁長さんで新基地阻止／女性団体が出馬要請,しんぶん赤旗,party_media,party_news,mechanical_vocabulary_normalization,2014-08-22,2014,complete_year_or_date,Reports the request body as 52 groups/individuals and names two example networks,complete,2014 women request-body scale/context; second source to QAB,E2,E2,Party-media framing; 52 is not a verified organization roster.,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=4_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS005,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,1,NW2-B_R09,NW2-B_R09:R9EC_S005,,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,unique_proposed_new,no,no,,not_applicable,S252,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S252,archived,『新基地ノー』心一つ／沖縄知事選 女性29団体が集会,しんぶん赤旗,party_media,party_news,mechanical_vocabulary_normalization,2014-10-11,2014,complete_year_or_date,Reports 10/9 women assembly organized by the Hiyamikachi Umānchu campaign women's bureau,complete,2014 public endorsement/mobilization meeting,E2,E2,Single party-media report; full 29-group roster is not available online.,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=4_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS006,https://www.magazine9.jp/article/yuntacrew/18975,1,NW2-B_R09,NW2-B_R09:R9EC_S006,,https://www.magazine9.jp/article/yuntacrew/18975/,unique_proposed_new,no,no,,not_applicable,S253,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S253,archived,『ゆんたく』から始まった、沖縄・若者の抵抗,マガジン9 / ゆんたくるー,participant_account,community_site,human_choice_required,2015-04-22,2015,complete_year_or_date,Participant describes formation after 2014-08-12 and a pre-gubernatorial-election field-learning bus tour,complete,2014 youth observation/dialogue intervention,E3,E3,Retrospective first-person account; does not establish turnout or vote effects.,election_causality_not_inferred;person_or_masked_actor_not_transferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,source_type_human_choice,yes,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS007,https://www.shinfujin.gr.jp/2943,2,NW2-B_R09;NW2-C_registry_gate,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,RV2C003,https://www.shinfujin.gr.jp/2943/,cross_batch_duplicate_proposed_new,yes,no,,not_applicable,S254,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S254,archived,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,新日本婦人の会;新日本婦人の会中央本部,organization_statement,organization_statement,already_in_current_vocabulary,2014-11-19,2014,complete_year_or_date,Official post-result statement; self-reports Okinawa members' campaign activity | paragraph explicitly describing Okinawa-headquarters member action,complete,2014 organization public interpretation and bounded self-report | Official national-body attribution of dated Okinawa-headquarters anti-new-base activity,E4,E4,Organizational self-report is not independent evidence of electoral effect. | Supports the branch's attributed activity; election commentary must not become a causal claim.,election_causality_not_inferred;self_report_reach_or_effect_not_inferred;branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,cross_batch_title_variant;cross_batch_publisher_label_variant,yes,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS008,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,1,NW2-B_R09,NW2-B_R09:R9EC_S008,,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,unique_proposed_new,no,no,,not_applicable,S255,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S255,archived,平成30年沖縄県知事選挙 特設ページ,沖縄県選挙管理委員会,official_election_record,official_data,mechanical_vocabulary_normalization,2018-09,2018,complete_year_or_date,Official 2018 election administration and 9/30 vote date,complete,2018 election-window date and institutional context only,E4,E4,Does not support any civic-actor role or causal effect.,election_causality_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=17_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS009,https://ryukyushimpo.jp/news/entry-770040.html,1,NW2-B_R09,NW2-B_R09:R9EC_S009,,https://ryukyushimpo.jp/news/entry-770040.html,unique_proposed_new,no,no,,not_applicable,S256,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S256,archived,『知事、頑張れ』緊急集会で撤回表明に喜びと決意,琉球新報,local_news,local_news,already_in_current_vocabulary,2018-07-27,2018,complete_year_or_date,"Reports All Okinawa Council rally, appeal supporting revocation, and 300+ participants",complete,2018 pre-election issue campaign supporting a gubernatorial administrative act,E3,E3,Support for a policy act is not a candidate endorsement or vote-effect claim.,election_causality_not_inferred;issue_event_not_automatic_endorsement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=14_archived_1_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS010,https://all-okinawa.jp/492,1,NW2-B_R09,NW2-B_R09:R9EC_S010,,https://all-okinawa.jp/492/,unique_proposed_new,no,no,,not_applicable,S257,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S257,archived,8.11県民大会（辺野古新基地建設断念要求）,辺野古新基地を造らせないオール沖縄会議,organization_event_record,organization_event_record,already_in_current_vocabulary,2018-08-11,2018,complete_year_or_date,Official event page and linked reports after Onaga's death,complete,2018 issue campaign and memorial rally; no candidate endorsement coded,E4,E4,Election proximity does not convert the rally into an endorsement without explicit evidence.,election_causality_not_inferred;issue_event_not_automatic_endorsement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
