edge_id,actor_id,actor_name,actor_class,analysis_family_v1,origin_type,issue_id,issue_label,issue_group,relation_basis_original,temporal_scope_v1,temporal_scope_rule,source_ref,evidence_level,review_status,review_layer,analysis_inclusion,analysis_exclusion_reason,conclusion_eligibility,notes,interpretation_limit
AI001,A001,Okinawa Environmental Justice Project,international_advocacy_actor,跨国 NGO／国际倡议,mixed_or_network,I004,dugong,environment,OEJP/MMC dugong advocacy,organizational_positioning,mission/purpose/sustained-role marker,S006;S007;S008,E4,ai_seeded,candidate,active,,candidate_or_clue,Core issue.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI002,A001,Okinawa Environmental Justice Project,international_advocacy_actor,跨国 NGO／国际倡议,mixed_or_network,I012,international_advocacy,transnational,Request to U.S. Marine Mammal Commission,event_specific,explicit statement/signatory/request/action marker,S006;S007;S008,E4,ai_seeded,candidate,active,,candidate_or_clue,Transnational advocacy route.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI003,A001,Okinawa Environmental Justice Project,international_advocacy_actor,跨国 NGO／国际倡议,mixed_or_network,I003,Henoko,place_issue,Henoko/Oura Bay focus,organizational_positioning,mission/purpose/sustained-role marker,S006;S007;S008,E4,ai_seeded,candidate,active,,candidate_or_clue,Place issue.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI004,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,跨国 NGO／国际倡议,japan_domestic,I004,dugong,environment,Dugong protection campaign and advocacy context,institutional_or_case_role,legal/service/program/support role marker,S007;S057;S058;S059,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,HR-001 identity confirmed; do not treat as lawsuit plaintiff.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI005,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,跨国 NGO／国际倡议,japan_domestic,I012,international_advocacy,transnational,IUCN and international advocacy context,institutional_or_case_role,legal/service/program/support role marker,S007;S058,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,HR-001 confirms international advocacy role via SDCC/IUCN; lawsuit link is personnel overlap not plaintiff status.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI006,A003,ジュゴンネットワーク沖縄,local_civic_actor,冲绳本地公民行动,okinawa_local,I004,dugong,environment,2010 WWF signatory list,event_specific,explicit statement/signatory/request/action marker,S003,E3,needs_second_source,candidate,active,,candidate_or_clue,Confirm organization details.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI007,A003,ジュゴンネットワーク沖縄,local_civic_actor,冲绳本地公民行动,okinawa_local,I005,biodiversity,environment,2010 WWF Henoko habitat statement,event_specific,explicit statement/signatory/request/action marker,S003,E3,needs_second_source,candidate,active,,candidate_or_clue,Environmental actor seed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI008,A004,日本自然保護協会,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I005,biodiversity,environment,2015 NACSJ emergency statement,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,National environmental NGO.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI009,A004,日本自然保護協会,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I003,Henoko,place_issue,Henoko emergency statement,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,Issue/place link.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI010,A005,WWFジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I004,dugong,environment,2010 WWF statement host,event_specific,explicit statement/signatory/request/action marker,S003,E4,ai_seeded,candidate,active,,candidate_or_clue,Statement host.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI011,A005,WWFジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I005,biodiversity,environment,2010 WWF statement host,event_specific,explicit statement/signatory/request/action marker,S003,E4,ai_seeded,candidate,active,,candidate_or_clue,Environmental frame.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI012,A006,グリーンピース・ジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I005,biodiversity,environment,2010 WWF signatory list,event_specific,explicit statement/signatory/request/action marker,S003,E4,ai_seeded,candidate,active,,candidate_or_clue,Environmental NGO.,actor--issue evidence only; does not establish stable inter-organizational alliance
