record_id,record_scope,event_id,event_name,event_year,actor_or_counterpart_id,legacy_candidate_id,actor_or_counterpart_name,entity_type,action_type,venue_id,target_type,target_id_or_name,role,pathway_stage,evidence_level,source_id,reviewer_status,interpretation_limit,notes,review_decision,human_reviewer,review_date,review_task_id
AEV0001,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A003,,ジュゴンネットワーク沖縄,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E3,S003,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0002,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A005,,WWFジャパン,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0003,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A006,,グリーンピース・ジャパン,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0004,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A061,,日本野鳥の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0005,event,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A062,,日本湿地ネットワーク（JAWAN）,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,domestic_environmental_statement,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0006,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A004,,日本自然保護協会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0007,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A021,,国際環境NGO FoE Japan,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0008,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A022,,NPO法人 ラムサール・ネットワーク日本,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0009,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A023,,美ら海にもやんばるにも基地はいらない市民の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0010,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A024,,辺野古リレー,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0011,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A025,,辺野古への基地建設を許さない実行委員会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0012,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A026,,ピース・ニュース,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0013,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A027,,公共事業改革市民会議,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0014,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A028,,沖縄のための日米市民ネットワーク（JUCON）,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0015,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A029,,沖縄・生物多様性市民ネットワーク,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0016,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A030,,市川三番瀬を守る会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0017,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A031,,三番瀬のラムサール条約登録を実現する会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0018,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A032,,Peace Philosophy Centre,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0019,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A033,,Friends of the Earth U.S.,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0020,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A034,,Korea Federation for Environmental Movements (KFEM),registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0021,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A035,,Russian Social Ecological Union,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0022,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A036,,Friends of the Siberian Forests,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0023,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A037,,Centre for Environmental Justice,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0024,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A038,,Sahabat Alam Malaysia,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0025,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A039,,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0026,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A040,,Forum for Protection of Public Interest (Pro Public),registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0027,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A041,,Friends of the Earth Brisbane,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0028,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A042,,Pacific Environment,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0029,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A043,,PENGON-FoE Palestine,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0030,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A044,,Naturvernforbundet / Norwegian Society for the Conservation of Nature,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0031,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A045,,Center for Biological Diversity,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0032,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A046,,Pro Natura,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
AEV0033,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A061,,日本野鳥の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",HR-015: venue/target mapping human-reviewed; event role remains bounded by interpretation_limit.,accept,project_principal_user,2026-07-13,HR-015
