stage_id,case_id,case_name,place,process_branch,stage_order,date_start,date_end,date_precision,stage_type,short_label,process_action,formal_basis,decision_body_or_forum,outcome,source_refs,evidence_level,review_status,needs_local_retrieval,interpretation_limit,notes,formal_inclusion_status
R9ST001,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,1,1997-06-27,,day,initiation,Request preparation,名護市民投票推進協議会向名护市启动条例制定直接请求准备,地方自治法第74条,Nago City,进入代表者证明与签名程序,R9S001,E4,ai_seeded,no,官方事件名称与 A068 当前规范名的映射仍待人工决定；不得据此推定后续组织连续性。,,accepted
R9ST002,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,2,1997-07-08,1997-09-16,day_range,signature_request,"19,734 submitted / 17,539 valid",取得代表者证明、进行一个月签名、提交并由选管审查后提出条例制定直接请求,地方自治法第74条,Nago Election Administration Commission / Mayor,"提交19,734份，确认17,539份有效；直接请求成立",R9S001,E4,ai_seeded,no,签名数量表示程序参与，不等于组织成员数。,,accepted
R9ST003,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,3,1997-09-25,1997-10-06,day_range,council_ordinance,Four-choice ordinance,市长附意见提交；市议会以17对11通过四选项修正案；条例公布,individual referendum ordinance,Nago City Council / Mayor,条例成立并设四项选择,R9S001,E4,ai_seeded,no,修正后的问题设计不能与市民团体原案混同。,,accepted
R9ST004,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,4,1997-12-21,1997-12-21,day,vote,Referendum held,实施名护市海上直升机场基地建设是非市民投票,municipal referendum ordinance,Nago Election Administration Commission,投开票完成,R9S003;R9S022,E4,ai_seeded,no,咨询型投票不能写成法律上阻止国家项目。,,accepted
R9ST005,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,5,1997-12-21,1997-12-21,day,result,"16,639 oppose / 14,267 support","官方结果按条件选项合并：反对16,639，赞成14,267",municipal referendum ordinance,Nago Election Administration Commission,"赞成2,562、条件付赞成11,705、反对16,254、条件付反对385；投票者31,477；有效票30,906；无效565；投票率82.45%",R9S022,E4,ai_seeded,no,百分比必须注明分母：反对占全体投票者约52.85%，占有效票约53.84%；不使用官方XLS中有90票差异的当日投票小计。,,accepted
R9ST006,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,municipal_direct_request,6,1997-12-24,1997-12-24,day,post_result_executive,Mayor accepts and resigns,比嘉市长宣布接受海上基地并辞职,mayoral executive decision,Nago Mayor,行政决定与投票多数方向发生分离,R9S002,E4,ai_seeded,no,显示咨询型结果与行政决定可以分离，不等于投票没有政治意义。,,accepted
R9ST008,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,municipal_ordinance,2,2014-12-01,2014-12-01,day,council_ordinance,Ordinance No. 23,制定关于自卫队基地建设民意的个别住民投票条例,Yonaguni Ordinance No.23,Yonaguni Town Council / Mayor,条例成立,R9S005,E3,ai_seeded,yes,现有文本来自大学法规数据库，不是町公报或议会原件。,,accepted
R9ST009,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,municipal_ordinance,3,2015-01-13,2015-01-16,day_range,ordinance_amendment,Two ordinance amendments,两次修正条例，调整投票制度细节,Yonaguni Ordinance No.1 and No.2,Yonaguni Town Council / Mayor,修正后进入实施阶段,R9S005,E3,ai_seeded,yes,修正内容与表决过程仍需町公报／议会原始记录。,,accepted
R9ST011,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,municipal_ordinance,5,2015-02-22,2015-02-22,day,vote,Referendum held,实施沿岸监视部队等部署是非住民投票,Yonaguni Ordinance No.23 as amended,Yonaguni Election Administration Commission,投开票完成,R9S005,E3,ai_seeded,yes,条例文本支持町长执行、选管办理；不是由A014或A015单独实施。,,accepted
R9ST013,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,post_result,7,2015-03,,month,post_result_executive,Mayor interprets result,町长在施政方针中称结果使部署争议决着，同时承认约四成反对,municipal policy statement,Yonaguni Mayor,行政以推进部署为方向解释结果,R9S006,E4,ai_seeded,no,这是町长的官方解释，不代表全体町民共识。,,accepted
