actor_id,actor_name,actor_class,analysis_family,origin_type,origin_bucket,legal_status_guess,legal_formality_bucket,actor_evidence_level,actor_review_status,linked_source_count,linked_source_ids,unresolved_reference_count,unresolved_reference_tokens,source_crosswalk_status,registry_source_count,actor_issue_support_source_count,strict_triple_source_count,event_source_count,case_role_source_count,typed_dyadic_source_count,non_issue_linked_source_count,non_strict_triple_linked_source_count,non_event_linked_source_count,non_case_role_linked_source_count,non_typed_dyadic_linked_source_count,non_big3_linked_source_count,source_channel_count,source_channels,source_domain_count,archive_success_count,archive_failure_or_skip_count,archive_success_share,organization_hosted_trace_candidate,own_website_status,official_administrative_trace,external_media_or_academic_trace,legal_procedural_trace,english_title_trace,japanese_title_trace,multilingual_title_trace,language_capacity_status,document_year_min,document_year_max,document_record_span_years,lifecycle_status,lifespan_status,documentation_trace_feature_count_0to7,documentation_trace_stratum,registry_trace_stratum,active_actor_issue_degree,e3plus_actor_issue_degree,reviewed_actor_issue_degree,candidate_actor_issue_degree,active_actor_issue_betweenness,e3plus_actor_issue_betweenness,reviewed_actor_issue_betweenness,candidate_actor_issue_betweenness,active_issue_frame_count,s004_only_actor_issue_edge_count,strict_triple_row_count,strict_unique_place_issue_pair_count,strict_unique_shared_source_count,human_checked_event_degree,human_checked_event_betweenness,accepted_case_degree,accepted_case_betweenness,substantive_case_role_count,reviewed_typed_dyadic_degree,reviewed_typed_dyadic_betweenness,graph_object_boundary,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
A001,Okinawa Environmental Justice Project,international_advocacy_actor,跨国 NGO／国际倡议,mixed_or_network,nonlocal_or_institutional,informal_or_project,informal_unclear_or_program,E4,ai_seeded,3,S006;S007;S008,0,,resolved_s_sources,3,3,3,1,0,0,0,0,2,3,3,2,3,academic_secondary;media;other,3,3,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,no,yes,yes,yes,not_measured_title_language_is_only_a_trace,2020,2020,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,moderate_2to3,moderate_2to3,3,3,0,3,0.01191384,0.01201377,0.0,0.01475595,3,0,18,6,3,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,跨国 NGO／国际倡议,japan_domestic,nonlocal_or_institutional,任意団体,informal_unclear_or_program,E4,human_revised,7,S007;S057;S058;S059;S060;S062;S128,0,,resolved_s_sources,4,4,4,1,2,0,3,3,6,5,7,7,3,academic_secondary;legal_procedural;organization_hosted,6,7,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,yes,yes,yes,yes,yes,not_measured_title_language_is_only_a_trace,2003,2026,23,not_measured,not_measured_record_span_is_not_organizational_lifespan,6,dense_4plus,dense_4plus,2,2,2,0,0.00153137,0.00158058,0.0080048,0.0,2,0,12,4,4,1,0.0,1,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A003,ジュゴンネットワーク沖縄,local_civic_actor,冲绳本地公民行动,okinawa_local,okinawa_local,unclear,informal_unclear_or_program,E3,needs_second_source,1,S003,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2010,2010,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.00093552,0.00096558,0.0,0.00150386,1,0,4,4,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A004,日本自然保護協会,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,public_interest_foundation_or_association,formal_or_incorporated_guess,E4,ai_seeded,3,S004;S131;S132,0,,resolved_s_sources,1,1,1,1,2,0,2,2,2,1,3,2,1,organization_hosted,1,3,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,yes,no,yes,no,not_measured_title_language_is_only_a_trace,2004,2015,11,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,moderate_2to3,thin_0to1,2,2,0,2,0.00325574,0.00325908,0.0,0.00319022,2,2,4,4,1,1,0.0,1,0.0,1,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A005,WWFジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,public_interest_foundation,formal_or_incorporated_guess,E4,ai_seeded,1,S003,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2010,2010,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.00093552,0.00096558,0.0,0.00150386,1,0,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A006,グリーンピース・ジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,ngo,formal_or_incorporated_guess,E4,ai_seeded,1,S003,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2010,2010,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.0075232,0.00756309,0.0,0.00941007,2,0,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A007,ピースボート,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,ngo,formal_or_incorporated_guess,E4,ai_seeded,1,S005,0,,resolved_s_sources,1,1,1,0,0,0,0,0,1,1,1,1,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,yes,no,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,2,thin_0to1,thin_0to1,3,3,0,3,0.02726173,0.0275944,0.0,0.02843455,3,0,2,2,1,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A008,NGO非戦ネット,citizen_network,冲绳本地公民行动,japan_domestic,nonlocal_or_institutional,informal_network（任意ネットワーク・国際協力NGO）,formal_or_incorporated_guess,E3,human_revised,4,S064;S065;S066;S067,0,,resolved_s_sources,4,4,1,0,0,0,0,3,4,4,4,4,2,organization_hosted;other,4,4,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2026,11,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,dense_4plus,dense_4plus,2,2,2,0,0.00294716,0.00304941,0.03292076,0.0,2,0,1,1,1,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A009,Earthjustice,international_advocacy_actor,跨国 NGO／国际倡议,us_origin,nonlocal_or_institutional,ngo,formal_or_incorporated_guess,E4,ai_seeded,2,S009;S062,0,,resolved_s_sources,1,1,1,1,1,0,1,1,1,1,2,2,1,legal_procedural,1,2,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,no,yes,yes,no,no,not_measured_title_language_is_only_a_trace,2014,2026,12,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,moderate_2to3,thin_0to1,3,3,0,3,0.00842538,0.00850687,0.0,0.01324286,3,0,6,6,1,1,0.0,1,0.0,1,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,human_revised,4,S016;S017;S157;S159,0,,resolved_s_sources,4,2,2,0,0,0,2,2,4,4,4,4,2,media;organization_hosted,3,4,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2016,2023,7,not_measured,not_measured_record_span_is_not_organizational_lifespan,4,dense_4plus,dense_4plus,3,3,0,3,0.00383321,0.00402242,0.0,0.00666714,3,0,4,3,2,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
