ecology,issue_id,issue_label,issue_group,active_edge_count,unique_actor_count,human_reviewed_edge_count,candidate_edge_count,actor_ids,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
service_core,I014,military_family_service,base_community,9,9,5,4,X001;X004;X005;X006;X007;X008;X009;X016;X017,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
service_core,I016,base_community_welfare,base_community,2,2,1,1,X001;X004,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I001,anti_base,base_politics,38,38,9,29,A006;A007;A008;A019;A021;A022;A023;A024;A025;A027;A028;A047;A048;A049;A050;A052;A053;A056;A057;A058;A059;A060;A063;A064;A066;A067;A068;A070;A071;A103;A104;A106;A107;A109;A110;A111;A114;A115,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I002,anti_military,security_politics,11,11,1,10,A010;A011;A012;A013;A014;A015;A016;A047;A049;A065;A114,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I003,Henoko,place_issue,16,16,5,11,A001;A004;A019;A024;A025;A029;A047;A051;A059;A067;A068;A069;A076;A105;A106;A110,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I004,dugong,environment,9,9,3,6,A001;A002;A003;A005;A009;A020;A069;A076;A086,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I005,biodiversity,environment,15,15,1,14,A003;A004;A005;A006;A020;A021;A022;A023;A027;A029;A056;A060;A067;A069;A086,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I006,groundwater,life_safety,5,5,0,5,A010;A012;A013;A112;A113,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I007,life_safety,life_safety,12,12,4,8,A012;A013;A049;A052;A053;A102;A103;A104;A109;A112;A113;A114,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I008,health_risk,life_safety,2,2,0,2,A112;A113,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I009,local_autonomy,governance,8,8,0,8,A010;A011;A014;A015;A050;A051;A059;A066,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I010,referendum,governance,4,4,0,4,A011;A051;A068;A115,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I011,legal,legal_policy,13,13,6,7,A009;A020;A050;A052;A053;A066;A076;A086;A102;A103;A104;A109;A113,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I012,international_advocacy,transnational,8,8,2,6,A001;A002;A007;A009;A028;A064;A070;A086,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I017,frontline_prevention,security_politics,4,4,1,3,A017;A018;A065;A108,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I018,Taiwan_contingency,security_politics,4,4,1,3,A017;A018;A065;A108,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I019,peace,peace_human_rights,17,17,5,12,A007;A008;A017;A018;A047;A048;A057;A058;A063;A070;A071;A105;A107;A108;A111;A114;A115,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
accountability_comparison,I020,environment,environment,4,4,2,2,A102;A106;A112;A113,"Issue-edge counts describe the current curated sample; they do not measure political commitment, influence, or real-world sector size.",research_only,candidate_analysis,excluded_research_only
