relation_id,input_layer,source_endpoint,source_name,source_ecology,target_endpoint,target_name,target_ecology,ecology_relation,relation_family,relation_type,source_claim_status,source_review_status,evidence_level,source_ids,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
F002,reviewed,X003,American Engineering Corporation AEC,service_periphery,X001,USO Okinawa,service_core,service_ecology_internal,resources_funding,sponsorship,supported_bounded,human_checked,E4,S097;S098,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F006,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,service_core,service_ecology_internal,structural_affiliation,network_membership,supported,human_checked,E4,S041;S055;S072,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F007,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X006,Kadena Officers' Spouses' Club KOSC,service_core,service_ecology_internal,structural_affiliation,network_membership,supported,human_checked,E4,S041;S055;S072;S075,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F021,reviewed,X007,Okinawa Enlisted Spouses' Club (OESC),service_core,X001,USO Okinawa,service_core,service_ecology_internal,resources_funding,donation,supported,human_revised,E4,S053,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F022,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X007,Okinawa Enlisted Spouses' Club (OESC),service_core,service_ecology_internal,structural_affiliation,network_membership,supported,human_checked,E4,S041;S055,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F023,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),service_core,service_ecology_internal,structural_affiliation,network_membership,supported,human_checked,E4,S041;S055;S079,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F024,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X017,Army Community Group of Okinawa (ACGO),service_core,service_ecology_internal,structural_affiliation,network_membership,supported_bounded,human_revised,E3,S041;S072;S081,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F025,reviewed,X006,Kadena Officers' Spouses' Club KOSC,service_core,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,service_ecology_internal,resources_funding,funding_contribution,supported_bounded,human_revised,E4,S075,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F026,reviewed,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),service_core,X001,USO Okinawa,service_core,service_ecology_internal,resources_funding,grant,supported_bounded,human_checked,E3,S077,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F037,reviewed,A103,全国基地爆音訴訟原告団連絡会議,accountability_comparison,A052,嘉手納基地爆音差止訴訟原告団,accountability_comparison,accountability_internal,structural_affiliation,network_membership,supported,human_checked,E4,S122;S123,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
