place_id,place_name,place_type,service_actor_ids,service_place_edge_count,accountability_actor_ids,accountability_place_edge_count,overlap_status,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
P001,Okinawa Prefecture,prefecture,X004;X005;X007;X017,4,A003;A008;A017;A018;A023;A028;A029;A047;A048;A049;A050;A051;A056;A057;A058;A059;A060;A063;A064;A066;A070;A071;A107;A108;A111;A115,26,same_place_node_observed,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P002,Henoko,site,,0,A001;A002;A003;A004;A005;A006;A007;A009;A019;A020;A021;A022;A023;A024;A025;A027;A028;A029;A047;A051;A059;A067;A068;A069;A110,25,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P003,Oura Bay,site,,0,A001;A002;A004;A009;A020;A069,6,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P004,Futenma,base_site,,0,A053;A113,2,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P005,Kadena,base_site,X001;X006,2,A052;A109,2,same_place_node_observed,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P006,Camp Schwab,base_site,X001,1,,0,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P007,Camp Foster,base_site,X001;X008;X009;X016,4,,0,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P008,Camp Hansen,base_site,X001,1,,0,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P009,Camp Kinser,base_site,X001,1,,0,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P010,MCAS Futenma,base_site,X001,1,,0,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P011,Yonaguni,municipality,,0,A014;A015;A016;A017;A018;A065,6,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P012,Ishigaki,municipality,,0,A010;A011;A114,3,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P013,Miyako,municipality,,0,A012;A013;A065;A112,4,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P016,Takae,site,,0,A060,1,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P017,Nago,municipality,,0,A068,1,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P018,Ginowan,municipality,,0,A053;A113,2,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
P020,Naha,municipality,,0,A050;A066;A114,3,one_ecology_only_in_current_place_layer,"A shared place node is co-location or shared issue geography only; it is not a relationship, meeting, shared person, or alliance.",research_only,candidate_analysis,excluded_research_only
