relation_observation_id,source_entity_id,source_entity_name,source_ecology,target_entity_id,target_entity_name,target_ecology,ecology_relation,program_name,relation_type,relation_scope,financial_semantics,source_review_status,evidence_level,source_refs,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
R10R001,X011,JICA沖縄,other_registry_actor,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,JICA教師海外研修（九州・沖縄）,commission,public_to_actor,commission_role_amount_not_public,human_checked,E4,S100,"无公开合同金额；不写资金规模 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R002,PUB_OKINAWA_CITY,冲绳市,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,Koza International Plaza 运营,commission,public_to_actor,named_recipient_commission_flow,human_checked,E4,R10S05,"公共设施运营委托，不是 grant 或运动资金 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R003,PUB_OKINAWA_CITY,冲绳市,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,Koza International Plaza 运营,commission,public_to_actor,named_recipient_commission_flow,human_checked,E4,R10S06,"公共国际交流设施运营委托，不属于运动资金。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R004,PUB_OKINAWA_CITY,冲绳市,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,Koza International Plaza 管理运营,commission,public_to_actor,named_recipient_flow_plus_parallel_costs,human_checked,E4,R10S07;S099;R10S09;R10S10,"18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R005,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,多文化共生社会の構築に関する万国津梁会議运营支援,commission,public_to_actor,commission_relation_project_costs_only,human_checked,E4,S002;S099;R10S08;R10S12,"5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R006,PUB_MOFA,外务省,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,NGO相談員（外務省委託）,commission,public_to_actor,commission_relation_organization_cost_only,human_checked,E4,S099,"2.894630m 仅为组织侧事业分类成本 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R007,PUB_MOFA,外务省,non_registry_or_provisional,X010,沖縄NGOセンター,other_registry_actor,outside_two_group_comparison,令和8年度 NGO相談員,designated_role,public_to_actor,designation_no_amount,human_checked,E4,S101,"名单不含金额，也不证明 recipient 网络 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R008,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,A066,新外交イニシアティブ（ND）,accountability_comparison,accountability_to_other_interface,在冲美军基地问题研讨会举办业务,commission,public_to_actor,confirmed_contract,human_checked,E4,S002;R10S11;R10S12,"12.843m 是取整项目费；不是 grant、政治支持或运动资金 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R009,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,A088,特定非营利活动法人冲绳和平协力中心,other_registry_actor,outside_two_group_comparison,“和平之思”传播·交流·传承事业,commission,public_to_actor,confirmed_contract,human_checked,E4,S002;R10S11;R10S12,"25.547m 是事业费；与 HR-018-10 是两份独立合同 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R010,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,A088,特定非营利活动法人冲绳和平协力中心,other_registry_actor,outside_two_group_comparison,冲绳战讲述者培养事业,commission,public_to_actor,confirmed_contract,human_checked,E4,S002;R10S11;R10S12,"6.496m 是事业费；与 HR-018-09 是两份独立合同 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
