source_id,title,publisher,source_type,url,document_date,observed_on,locator,local_path,sha256,archive_status,support_scope,interpretation_limit,workflow_status,claim_eligibility
BPG-SR001,MCIPAC-MCBBO 5760.2 Support for Non-Federal Entities and Private Organizations,Marine Corps Installations Pacific-MCB Camp Butler,official_installation_order,https://www.okinawa.usmc-mccs.org/modules/media/?do=inline&id=472ee93c-c860-47e0-ba08-eebf26edffcc&v=2,2022-11-08,2026-08-22,"pp.1-2 tasks 3(b)(1)-(6); enclosure pp.1-2 to 1-8 paras 1,5-10,13-19; especially pp.1-6 to 1-8 paras 16-19",,,remote_verified_cli_access_denied_not_archived,"MCIPAC authorization chain; NFE/non-NAFI status; reporting; license and reimbursable utilities/services; own equipment; limited logistical support; status suspension/revocation; resale exceptions","A general order does not prove that a named PO received a particular room, free support, subsidy, license, or retail exception; actor-specific authorization and license documents remain separate",lead_only,no
BPG-SR002,Private Organizations current roster and program description,Marine Corps Community Services Okinawa,official_current_roster,https://www.okinawa.usmc-mccs.org/more/private-organizations,2026-08-01,2026-08-22,"program description; current PO list rows for American Welfare & Works Association, Marine Officers' Spouses' Club Okinawa, and Marine Thrift Shop; resources section",,,remote_verified_cli_access_denied_not_archived,"Current active-status roster and MCCS PO Monitor role; listed organizations","Roster placement is administrative authorization evidence, not MCCS affiliation, control, funding, endorsement, or proof of a specific facility license",lead_only,no
BPG-SR003,Request for Approval of a Private Organization,Marine Corps Community Services Okinawa,official_application_form,https://www.okinawa.usmc-mccs.org/modules/media/?do=inline&id=72cbb33d-853a-43dd-8344-6a6802692381&v=2,,2026-08-22,"pp.1-3: request to Director MCCS; officers; projected income/expenses; EIN; membership; assets; insurance; dissolution and acknowledgements",,,remote_verified_cli_access_denied_not_archived,"Application fields and acknowledgment of non-governmental status and PO responsibility","A blank template does not show that a named organization supplied any field or received approval",lead_only,no
BPG-SR004,Private Organization reporting requirements checklist,Marine Corps Community Services Okinawa,official_reporting_template,https://www.okinawa.usmc-mccs.org/modules/media/?do=inline&id=604c3c55-2d31-49f9-982b-eaa04902f949&v=1,,2026-08-22,"quarterly financial statements, minutes, compliance checklist and POC list; annual financial statement/review, budget and bylaws review",,,remote_verified_cli_access_denied_not_archived,"Documents routinely required from MCIPAC POs","Template requirements show an administrative record class, not that records for every named PO are public or retained for every year",lead_only,no
BPG-SR005,Fundraiser and Limited Logistical Support Request Form,Marine Corps Community Services Okinawa,official_request_form,https://www.okinawa.usmc-mccs.org/modules/media/?do=inline&id=67a0db14-2ae9-45f3-9001-fd3faf6f3b02&v=1,,2026-08-22,"event/site fields; facility manager endorsement; legal review; Camp/Station Commander decision; final approval and non-endorsement language",,,remote_verified_cli_access_denied_not_archived,"Event-level site and limited logistical-support approval path","A request form does not prove approval, free use, an ongoing facility right, or actual provision of equipment/services",lead_only,no
BPG-SR006,18 FSS Operating Instruction 34-223-1 Private Organizations Program,18th Force Support Squadron Kadena Air Base,official_installation_order,https://kadenafss.com/wp-content/uploads/2024/08/OI-34-223-1-PO-Program-5Feb24.pdf,2024-02-05,2026-08-22,"pp.1-6; especially paras 3-8, 11.2-11.4, 12.1 and 13.1",outputs/us_presence_network_wave2_base_private_org_governance_lead_v1/artifacts/kadena_18fss_oi_34_223_1_20240205.pdf,DE86FABE38283F250FCB2547A5190E9A93DB128728C3094EFEDD9C595CD6EB61,archived,"Kadena authorization/monitoring; private liability; administrative file; limited supervision; continuous resale authorizations; normal fees for 18 FSS support; suspension/dissolution","The order names two continuous-resale operations but does not publish their lease, permanent-room, rent, utility, or current post-2025 classification terms",lead_only,no
BPG-SR007,Private and Unofficial Organizations,Kadena Air Base 18th Force Support Squadron,official_program_page,https://kadenafss.com/private-organizations,,2026-08-22,"visible page description and contact block; local HTML around lines 471 and 542-550",outputs/us_presence_network_wave2_base_private_org_governance_lead_v1/artifacts/kadena_private_organizations_20260822.html,589DF2A4B98A12DD1EEB67012EA3254210DD531290AB7E0FAAEA5DFDA11F46A0,archived,"Current public explanation that POs are self-sustaining and operate with installation-command consent","Building 721-A Room A-108 is the 18 FSS Private Organization program contact office; it is not evidence of a spouse-club room or free facility",lead_only,no
BPG-SR008,Kadena Town Hall Meeting Minutes: Private Organization Program changes,Kadena Air Base,official_townhall_record,https://www.kadena.af.mil/Kadena-Townhall-Meeting-Minutes/,2025-06-12,2026-08-22,"June 12 2025 town hall; new mission-related/community-based PO types; spouse-club classification to be clarified in forthcoming policy memo",,,remote_verified_cli_access_denied_not_archived,"Temporal caveat for current Kadena PO categories","A forthcoming-classification statement does not cancel the 2024 order or identify the present classification of KOSC/OESC",lead_only,no
BPG-SR009,DoD Directive 1000.26E Support for Non-Federal Entities Authorized to Operate on DoD Installations,Department of Defense,official_department_directive,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/100026e.PDF?ver=lWtbZ2lE8Lto_1Xbgrl7ng%3D%3D,"2007-02-02; Change 2 2022-11-30",2026-08-22,"policy paras 3-4: NFE definition; installation commander consent; non-preferential treatment; conditional logistical support",,,remote_verified_not_archived,"DoD-wide distinction between NFE status, installation consent and conditional support","DoD-wide policy does not establish actor-specific Okinawa authorization, facilities, payments or support",lead_only,no
BPG-SR010,MCO 5760.4C Procedures and Support for Non-Federal Entities Authorized to Operate on Marine Corps Installations,United States Marine Corps,official_service_order,https://www.marines.mil/portals/1/Publications/MCO%205760.4C.pdf,2010-03-18,2026-08-22,"enclosure paras 1-10 and 17: written consent; disclaimer; out-grant for regular facilities; limits on NAF support; MCCS administrative oversight",,,remote_verified_not_archived,"Marine Corps-wide parent rule for facility out-grants and administrative oversight","Parent policy is context for MCIPAC; named-organizational facility or support facts require the installation/order/actor document",lead_only,no
