lead_id,package_id,record_kind,chain_id,parent_lead_id,recon_step,discovered_on,lead_title,observation,why_unexpected,source_or_query_locator,next_test,potential_value,stop_reason,workflow_status,claim_eligibility,central_writeback,human_review_trigger,publication_eligibility
UF-BPG-001,us_presence_network_wave2_base_private_org_governance_lead_v1,origin_observation,UF-BPG-C01,,0,2026-08-22,基地内组织不是MCCS部门,"MCIPAC规则把private organization明示为自我维持的non-federal entity、非联邦机构且非NAFI；它在基地内获得书面准入，但内部由私人个人运作。","现有数据库容易把同一基地网页、MCCS行政入口和组织功能误读成机构隶属。","BPG-SR001 enclosure p.1-1 paras 1-2; p.1-4 para 10; BPG-SR009 policy paras 3-4","逐组织取得书面authorization，区分组织身份与基地准入。","可把亲美/反美标签改造成可观察的institutional position，而不虚构控制关系。",,lead_only,no,no,no,no
UF-BPG-002,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C01,UF-BPG-001,1,2026-08-22,授权权与内部控制被规则主动拆开,"MCIPAC由CG/DC授权、MCCS处理和审计；Kadena由18 MSG授权、18 FSS监控，但Kadena OI又明确说command不控制或规定PO的内部活动和结构。","监督和撤销权很强，却仍被制度文本与内部治理分开，不能用一条control边表示。","BPG-SR001 pp.1-2 and 1-6 to 1-7; BPG-SR006 paras 4-8","比较authorization、administrative_monitor和internal_governance三类字段是否在每个actor都有原件。","提示建立类型化的基地制度位置层，而不是把command/MCCS画成母组织。",,lead_only,no,no,no,no
UF-BPG-003,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C01,UF-BPG-002,2,2026-08-22,基地管理端存在一套990以外的组织档案,"MCIPAC和Kadena要求PO提交章程、预算、季度财务报表、会议纪要、人员名单和合规材料；Kadena文件还明确包括银行报表、募款成本/收入与donation receipts。","研究原先把IRS 990当作主要组织和资金档案，却忽略installation command掌握更贴近基地活动的行政记录。","BPG-SR001 enclosure pp.1-2 to 1-4 paras 5-8; BPG-SR004; BPG-SR006 paras 5-7 and 9-10","先做一份按installation分开的records inventory，核可公开性、保存年限与可请求字段。","可能直接补齐人物任期、内部收入、recipient收据和授权历史，是穿透谁组织/为谁服务的高价值来源。",,lead_only,no,no,no,no
UF-BPG-004,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C01,UF-BPG-003,3,2026-08-22,研究设计需要新增运作许可层,"未来正式模型可把installation_authorization、administrative_monitor、facility_license、reimbursable_support和resale_exception分开，并以command-side PO file作为取证对象。","这会改变下一轮的网络边语法和取件对象，而不是只给现有网页表补几列。","BPG-RG01; BPG-RG02; actor_regime_crosswalk_lead_only_v1.csv","若负责人批准，另开工作包定义schema并形成MCIPAC/Kadena/Navy/Army分开的记录请求。","使资源网络能显示谁提供制度位置，同时避免把准入误写成资助或控制。","已到recon_step=3；继续会改变正式schema和信息公开任务，须负责人另行批准。",lead_only,no,no,no,no
UF-BPG-005,us_presence_network_wave2_base_private_org_governance_lead_v1,origin_observation,UF-BPG-C02,,0,2026-08-22,基地场地准入不等于免费场地,"MCIPAC持续使用DoD场地须real-estate license并偿还水电、材料、服务及其他成本；Kadena公开页和OI没有给选定俱乐部的免费房间条款。","如果只看组织地址或基地网页，很容易把基地内位置误算成隐性补贴。","BPG-SR001 order tasks 3(b)(4)-(6) and enclosure para 19(c); BPG-NS004","取得每个PO的license/out-grant、room assignment和reimbursement schedule。","为资源流研究增加facility_price_status，防止把制度位置与财政支持混在一起。",,lead_only,no,no,no,no
UF-BPG-006,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C02,UF-BPG-005,1,2026-08-22,设备水电和后勤遵循成本回收与条件许可,"MCIPAC要求PO原则上自备设备耗材，有限政府后勤须合法、法律审查和command批准；Kadena则规定任何18 FSS设备、服务或支持按正常费用收费。","政策允许support，但实际结构不是无条件供给，且两基地的公开成本规则强度不同。","BPG-SR001 enclosure para 19; BPG-SR006 paras 8.3.7-8.3.10 and 12.1","在actor-specific文件中核查实际获准support、金额、是否cost-recovery及期限。","可证伪把MCCS/FSS administrative support直接当成政府补贴的解释。",,lead_only,no,no,no,no
UF-BPG-007,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C02,UF-BPG-006,2,2026-08-22,持续零售例外是一种独立制度资源,"一般规则禁止与MCCS/AAFES/commissary竞争和持续零售，但为used-goods thrift shops、authorized gift shops保留例外；Kadena还具名授权两家配偶俱乐部的Thrift Store/Gift Corner持续零售。","资金研究过去只看990结果，没有编码组织能长期产生收入的基地制度位置。","BPG-SR001 enclosure para 16(c); BPG-SR006 paras 8.2-8.3","核每家shop的specific authorization、设施license、销售对象、费用和有效期。","可能解释慈善资金的生成机制，但仍不等于政府拨款、独占权或政治支持。","本链已得到结构性机制；actor-specific合同未公开，继续须另开正式取件问题。",lead_only,no,no,no,no
UF-BPG-008,us_presence_network_wave2_base_private_org_governance_lead_v1,origin_observation,UF-BPG-C03,,0,2026-08-22,选定组织分属多套基地授权制度,"MCIPAC roster列出AWWA、MOSCO和Marine Thrift Shop；Kadena OI则具名KOSC Gift Corner与Kadena Enlisted Spouses Club Thrift Store。","这些组织在功能上同属军属慈善生态，但行政位置并不归一个统一MCCS层级。","BPG-SR002 current roster; BPG-SR006 para 8.2","完成Navy/Army规则与每个actor的authorization crosswalk。","迫使研究把组织网络与installation-governance网络分层。",,lead_only,no,no,no,no
UF-BPG-009,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C03,UF-BPG-008,1,2026-08-22,AWWA伞状网络横跨command环境,"既有AWWA membership事实连接KOSC与MOSCO，而本轮官方规则分别把KOSC放在Kadena环境、AWWA/MOSCO放在MCIPAC roster；因此伞状协调不能等同于单一command隶属。","一张扁平组织关系图会把跨制度协调误读成同一行政体系。","actor_regime_crosswalk_lead_only_v1.csv rows X004/X006/X016; existing reviewed AWWA membership facts remain external context","取得AWWA和各member的authorization letters，检查协调章程是否提及基地制度角色。","提供一个能改变网络设计的跨层案例：network membership与installation authorization是正交关系。",,lead_only,no,no,no,no
UF-BPG-010,us_presence_network_wave2_base_private_org_governance_lead_v1,followup_observation,UF-BPG-C03,UF-BPG-009,2,2026-08-22,当前actor-regime映射仍有三类实质缺口,"NOSCO与ACGO的当前installation规则未闭合；OESC与Kadena OI中的Kadena Enlisted Spouses Club名称未消歧；2025 Kadena新分类对spouse clubs的归类仍待后续memo。","公开材料足以发现多制度结构，却不足以把所有五家俱乐部整齐放入同一分类。","BPG-NS001 through BPG-NS005; BPG-SR008","以后先查正确军种的PO office、名称连续性与2025 memo，再做全生态计数。","把缺失从一般网页不足收紧为三个具名制度取件点，并防止假闭合。","达到本包十条上限；继续会形成新的身份判断、正式请求或中央关系，故停手。",lead_only,no,no,no,no
