"candidate_id","candidate_type","actor_ids","time_scope","candidate_statement","supporting_observation","source_urls","evidence_status","competing_explanation_or_test","claim_limit","review_status","package_scope","frontend_eligibility"
"H2FM001","formation_history","X004","1952","AWWA's reported predecessor may have begun as a cross-community welfare body rather than a purely military-spouse organization.","A contributed history says the Ryukyu American Welfare Council brought Okinawan and American women together to provide grants to Japanese nonprofits.","https://okinawahai.com/american-womens-welfare-association/amp/","single_community_history_needs_independent_archive","Check USCAR, Okinawa Prefectural Archives, contemporary directories and predecessor bylaws for composition, legal continuity and exact name.","Do not state that current AWWA is legally identical to the 1952 body or that all participants were equally represented.","candidate_requires_historical_corroboration","research_only","excluded_research_only"
"H2FM002","institutional_reorganization","X004","1972","Reversion may have reorganized the welfare intermediary from a mixed predecessor into a federation centered on U.S. military spouse clubs.","Community history says service spouses formed AWWA after reversion; a local newspaper independently dates AWWA's establishment to 1972 by U.S. military personnel and wives.","https://okinawahai.com/american-womens-welfare-association/amp/;https://english.ryukyushimpo.jp/2012/05/09/6954/","supported_bounded_chronology","Test whether the apparent boundary change followed sovereignty/legal rules, base private-organization regulation, personnel turnover, or only a change in naming/documentation.","This is a reorganization hypothesis, not proof that reversion caused social separation.","candidate_requires_historical_corroboration","research_only","excluded_research_only"
"H2FM003","resource_generation_mechanism","X004;X005;X006;X007;X016;X017","post_1972","AWWA pools revenue generated by spouse-club gift and thrift shops and redistributes it to American and Okinawan welfare recipients.","Current and historical descriptions identify five member spouse organizations and shop-derived charitable funds.","https://nosco.wildapricot.org/awwa;https://okinawahai.com/american-womens-welfare-association/amp/;https://english.ryukyushimpo.jp/2012/05/09/6954/","multi_source_function_supported","Compare annual recipient composition and allocation rules against public base-policy controversy cycles.","The complete recipient table and annual amounts are not available; do not extrapolate from named examples.","candidate_needs_annual_records","research_only","excluded_research_only"
"H2FM004","public_legitimation_narrative","X004","2010_to_2012_observed","AWWA publicly frames welfare giving as community impact, Japan-U.S. exchange and goodwill.","AWWA-associated and newspaper narratives explicitly describe local-community contribution, exchange and goodwill.","https://okinawahai.com/american-womens-welfare-association/amp/;https://english.ryukyushimpo.jp/2012/05/09/6954/","source_backed_public_narrative","Compare this goodwill frame with recipient-authored accounts and with periods of heightened base controversy.","Goodwill language is not evidence of support for base policy and does not establish recipient attitudes.","candidate_interpretive_gate_required","research_only","excluded_research_only"
"H2FM005","organizational_expansion","X007","2008","OESC's island-wide form arose from an unmet cross-service enlisted-spouse support need rather than from a base-policy campaign.","Air Force public affairs reports that Kadena Enlisted Spouses Club became Okinawa Enlisted Spouses Club and opened to enlisted spouses across all branches after a Marine spouse found no suitable enlisted-spouse club.","https://www.kadena.af.mil/News/Article/419366/oesc-brings-okinawa-enlisted-spouses-together/","official_military_public_affairs_single_source","Check archived bylaws, prior club pages and IRS filings for the formal transition and predecessor continuity.","The account is a public-affairs narrative and does not alone prove why every participant joined or that no prior informal network existed.","candidate_needs_second_source","research_only","excluded_research_only"
"H2FM006","garrison_care_mechanism","X001;X007;X008;X009","current_public_slice","Long-term garrison presence generates recurring needs for belonging, emergency communication, financial relief, transitions and disaster support.","USO reports six centers serving about 47,000 service members and families; OESC, Red Cross and NMCRS describe complementary care functions.","https://pacific.uso.org/stories/800;https://www.kadena.af.mil/News/Article/419366/oesc-brings-okinawa-enlisted-spouses-together/;https://www.redcross.org/get-help/military-families/overseas-military-community-support.html;https://www.nmcrs.org/locations/okinawa-japan","multi_source_function_supported","Compare Okinawa with installations of different scale and duration; test whether these forms are Okinawa-specific or standard overseas-garrison infrastructure.","Observed functions do not establish a simple causal claim that the base alone produced each organization.","candidate_comparative_design_required","research_only","excluded_research_only"
"H2FM007","negative_case_universe","X016","current_directory_slice","The official private-organization universe contains many professional, recreational, school, fraternal and service groups, so the nine service-core actors are a selected functional subset rather than the whole base-associated civic ecology.","MCCS lists numerous authorized non-federal private organizations and marks MOSCO active among a much broader universe.","https://www.okinawa.usmc-mccs.org/more/private-organizations","official_directory_supported","Use the complete directory as a denominator and compare which organizational forms enter the registry, receive public coverage or create local recipient ties.","Do not call all directory entries NGOs or infer their legal, political or charitable status from directory presence.","candidate_denominator_design","research_only","excluded_research_only"
"H2FM008","competing_explanation","X004","current_coded_slice","The apparent divide may be between base-accountability advocacy and welfare/administrative service fields, not between U.S.-connected organizations and Okinawan civil society as wholes.","AWWA has documented support relationships with Ambitious and municipal welfare councils, while the bounded exact-name search found no direct interface with the 18 accountability anchors.","https://www.ambitious.or.jp/userfiles/files/page/magazine/201.pdf;https://english.ryukyushimpo.jp/2012/05/09/6954/","candidate_interpretation_supported_by_positive_and_bounded_zero_observations","Crosswalk full recipients against general-welfare, administrative and accountability actor universes using identical inclusion rules.","Current recipient coverage is incomplete and the accountability-side search tests indexed public co-mentions, not all social contact.","candidate_interpretive_gate_required","research_only","excluded_research_only"
"H2FM009","measurement_competitor","X001;X004;X005;X006;X007;X008;X009;X016;X017","current_online_slice","Separated English military-service channels and Japanese advocacy channels may manufacture an apparent network gap in web-derived data.","Service actors are documented mainly by English organization, military public-affairs and tax pages; accountability anchors are documented mainly by Japanese movement, legal and local-news sources.","","analytical_candidate","Run bilingual name/entity resolution on common event, recipient, officer and venue records; compare channel-matched samples.","This is a measurement explanation, not an observed social relationship.","analytical_seed_not_fact","research_only","excluded_research_only"
"H2FM010","measurement_competitor","X001;X004;X005;X006;X007;X008;X009;X016;X017","2012_to_2026_target","Military-family rotation may place cross-organization bridges in short-lived personal biographies rather than durable organization pages.","A public professional-profile search produced a lead for one individual listing roles across several spouse/service organizations, but no independent second source was obtained.","","unverified_person_lead_excluded_from_relation_data","Build dated officer/volunteer rosters from Form 990, archived organization pages and official stories; require two sources before person-overlap coding.","Do not identify the lead as a verified shared-person edge and do not infer a cross-accountability bridge.","candidate_person_roster_task","research_only","excluded_research_only"
