candidate_id,left_actor_id,left_person_name,left_role_period,right_actor_id,right_person_name,right_role_period,match_type,match_strength,matching_basis,ambiguity,human_review_needed,prohibited_inference,review_status,package_scope,claim_status,frontend_eligibility
"H2PC001","X006","Trinicia Kloepper","KOSC President FY2021; Gift Corner Liaison FY2023-FY2024","X004","Trinicia Kloepper","AWWA Publicity FY2023","exact_name_cross_actor","high","Exact spelling plus overlapping Okinawa spouse-club context and compatible periods.","Common-name collision is unlikely but independent identity confirmation has not been completed.","yes","Do not create a person node, shared-person edge, influence claim, or private relationship before human review.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC002","X004","Jen Yapsing","AWWA Administrative Coordinator FY2023-FY2024","X005","Jennifer Yapshing","NOSCO Vice President of Operations FY2022-FY2023","near_name_cross_actor","medium","Similar given name and surname with one added syllable/letter in overlapping periods.","Could be a spelling/transcription difference or two different people.","yes","Do not merge identities or create a cross-organization relation from name similarity.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC003","X007","Amber Tracy","OESC President FY2022-FY2023","X004","Amber Tracy","AWWA President FY2024","exact_name_cross_actor","high","Exact spelling and temporally adjacent leadership roles within the AWWA member-club ecology.","Independent identity confirmation and term dates are still absent.","yes","Do not infer automatic succession, representation, funding influence, or private ties.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC004","X007","Amber Tracy","OESC President FY2022-FY2023","X004","Amber Ford","AWWA President FY2022-FY2023","different_surname_possible_lifecycle","low","Same given name and overlapping spouse-club context; later AWWA filing uses Amber Tracy.","Surname change, two different people, or unrelated coincidence are all plausible.","yes","Do not treat Amber Ford and Amber Tracy as one person without a primary identity bridge.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC005","X007","Danica Cosca","Outreach FY2025 filing","X007","Danica Eckhart","Community Outreach Coordinator observed 2025-12-02","same_actor_role_family_name_conflict","low","Same given name, same organization, same role family, and adjacent time.","Different surnames may indicate different people, a name change, or a filing/news error.","yes","Do not merge the two names or infer a name change.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC006","X004","E.J. Schulz","Secretary FY2020; President observed 2020-08-28","X004","Elizabeth J. Schulz","President FY2021","initial_expansion_same_actor","high","Compatible initials, surname, adjacent periods, and role succession within one organization.","The full-name expansion is plausible but not explicitly stated in the cited sources.","yes","Do not overwrite source-specific name forms or exact term boundaries.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC007","X006","Brooke Epp","KOSC Outgoing President FY2025","X004","Brooke Epps","AWWA Financial Officer FY2024","near_name_cross_actor","medium","One-letter surname difference, adjacent periods, and member-club/umbrella context.","Could be a filing typo or two different people.","yes","Do not create a shared-person edge or representation claim before identity confirmation.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC008","X004","Sylvia Black","Interpreter/Cultural Liaison in non-contiguous FY2014-FY2016 and FY2020-FY2024 rosters","X004","Sylvia Maiko Black","Translator observed 2024-01-30","middle_name_expansion_same_actor","high","Same first and last name, same organization, same translation role, same year.","The middle-name expansion is not present in the tax filing interface.","yes","Do not replace source-specific name forms or infer continuous service through missing years.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC009","X004","Amber Tracy","President FY2024","X004","Amber Nicole Tracy","President observed 2024-01-30","middle_name_expansion_same_actor","high","Same first and last name, same role, same organization, and same year.","The middle name appears only on the recipient page.","yes","Do not silently normalize the identity before human review.","ai_seeded","research_only","candidate","excluded_research_only"
"H2PC010","X016","Diane Papaj","President FY2016 filing","X016","Diane Papaj","President observed 2015-12-02","exact_name_period_reconciliation","high","Exact name and role; the event falls near the fiscal-year boundary.","The filing year is not an appointment date and must not be read as a contradiction.","yes","Do not infer exact start/end dates from the two observations.","ai_seeded","research_only","candidate","excluded_research_only"
